area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"Дозаторы эжекторного типа, предназначенные для дозирования пенообразователя в поток воды и устанавливаемые на обводной линии водяного насоса в дренчерных установках пенного пожаротушения",Пожарная безопасность,1999-01-01,2025-08-26T03:08:10.146033+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для автоматических установок пенного пожаротушения, в частности для дозаторов эжекторного типа, применяемых для дозирования пенообразователя в поток воды. В документе содержатся требования безопасности, комплектность, правила приемки, маркировка и упаковка продукции.",ГОСТ Р,ГОСТ Р 51114-97_Установки пенного пожаротушения автоматические. Дозаторы. Методы испытаний.pdf,ГОСТ Р 51114-97 Установки пенного пожаротушения автоматические. Дозаторы. Общие технические требования. Методы испытаний,"['дозирование пенообразователя', 'требования безопасности', 'методы испытаний', 'маркировка и упаковка', 'правила приемки']","['установки пенного пожаротушения', 'автоматические дозаторы', 'общие технические требования', 'методы испытаний', 'пенообразователь', 'безопасность']",Русский,120,51114-97,5,96.4,0.0,,ГОСТ Р 51114-97_Установки пенного пожаротушения автоматические. Дозаторы. Методы испытаний.pdf,Действующий,15
"установки водяного и пенного пожаротушения автоматические, трубопроводные разъемные муфты для соединения труб диаметрами условного прохода от 25 до 200 мм",Пожарная безопасность,2002-07-01,2025-08-26T03:08:17.045197+00:00,"Стандарт распространяется на трубопроводные разъемные муфты для соединения труб установок водяного и пенного пожаротушения автоматических. В документе приведены общие технические требования к муфтам и методы их испытаний, включая параметры герметичности, механической прочности и устойчивости к вибрации.",ГОСТ Р,ГОСТ Р 51737-2001_ Установки водяного и пенного пожаротушения автоматические Муфты трубопроводные разъемные Методы испытаний.pdf,ГОСТ Р 51737-2001 Установки водяного и пенного пожаротушения автоматические Муфты трубопроводные разъемные Общие технические требования. Методы испытаний,"['технические требования муфт', 'испытания муфт', 'соединение труб', 'пожарная безопасность', 'автоматические системы пожаротушения']","['муфты трубопроводные разъемные', 'установки пожаротушения', 'водяное пожаротушение', 'пенное пожаротушение', 'технические требования', 'методы испытаний', 'герметичность', 'нагрузка', 'вибрация']",русский,96,51737-2001,5,98.9,0.0,Введен впервые,ГОСТ Р 51737-2001_ Установки водяного и пенного пожаротушения автоматические Муфты трубопроводные разъемные Методы испытаний.pdf,Действующий,8
"Правила безопасности по устройству и установке пассажирских лифтов, в том числе специальные применения для лифтов для пожарных",Пожарная безопасность,2012-11,2025-08-26T03:08:22.066477+00:00,"Стандарт устанавливает правила безопасности для конструкции и установки пассажирских лифтов, включая специальные применения для лифтов для пожарных. Модифицирован по отношению к европейскому стандарту EN 81-72:2003, реализует требования технического регламента о безопасности лифтов. Включает дополнительные положения для нужд национальной экономики РФ.",ГОСТ Р,ГОСТ Р 52382-2010_Лифты пассажирские Лифты для пожарных.pdf,ГОСТ Р 52382-2010 Лифты пассажирские. Лифты для пожарных,"['конструкция лифтов', 'установка лифтов', 'требования безопасности', 'лифты для пожарных']","['лифты пассажирские', 'лифты для пожарных', 'правила безопасности', 'технический регламент', 'EN 81-72:2003', 'пожарная безопасность']",русский,151,52382-2010,5,93.3,17.4,Переиздание. Ноябрь 2011 г.,ГОСТ Р 52382-2010_Лифты пассажирские Лифты для пожарных.pdf,Действующий,16
Болты высокопрочные для металлических конструкций,Крепежные изделия,2006-12-27,2025-08-26T03:08:27.703886+00:00,"Стандарт устанавливает технические условия на болты высокопрочные с шестигранной головкой с увеличенным размером под ключ для металлических конструкций, модифицированный по отношению к международному стандарту ISO 7411:1984 с техническими отклонениями.",ГОСТ Р,ГОСТ Р 52644-2006_Болты высокопрочные с шестигранной головкой с увеличенным размером под ключ для металлических конструкций.pdf,Гост Р 52644—2006 Болты высокопрочные с шестигранной головкой с увеличенным размером под ключ для металлических конструкций,"['конструкция болтов', 'технические требования', 'обеспечение затяжки']","['болты высокопрочные', 'шестигранная головка', 'металлические конструкции', 'технические условия', 'ISO 7411:1984']",Русский,403,52644—2006,5,82.5,9.4,Введен впервые,ГОСТ Р 52644-2006_Болты высокопрочные с шестигранной головкой с увеличенным размером под ключ для металлических конструкций.pdf,Действующий,29
Здания и сооружения,Безопасность функциональная,2010-01-01,2025-08-26T03:08:30.845759+00:00,"Настоящий стандарт устанавливает общие положения по функциональной безопасности систем, связанных с безопасностью зданий и сооружений. Документ регулирует требования и методы обеспечения безопасности строительных объектов и их инженерных систем для снижения рисков и поддержания приемлемого уровня безопасности в период эксплуатации.",ГОСТ Р,ГОСТ Р 53195.1-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Основные положения.pdf,ГОСТ Р 53195.1-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Часть 1. Основные положения,"['технические системы строительных объектов', 'меры снижения риска', 'технические средства безопасности']","['функциональная безопасность', 'здания', 'сооружения', 'системы безопасности', 'инженерные системы', 'риски', 'эксплуатация']",русский,315,53195.1-2008,5,90.5,10.0,Введен впервые,ГОСТ Р 53195.1-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Основные положения.pdf,Действующий,33
связанных с безопасностью зданий и сооружений систем,Безопасность функциональная,2010-01-01,2025-08-26T03:08:34.445389+00:00,"Стандарт регулирует функциональную безопасность систем, связанных с безопасностью зданий и сооружений, устанавливает общие требования к таким системам. Стандарт учитывает международные нормы безопасности и предназначен для применения в строительном производстве для обеспечения приемлемого уровня риска в эксплуатации объектов.",ГОСТ Р,ГОСТ Р 53195.2-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Общие требования.pdf,ГОСТ Р 53195.2-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Часть 2. Общие требования,"['функциональная безопасность', 'требования к системам безопасности зданий', 'международные стандарты IEC 61508', 'снижение риска', 'строительство']","['функциональная безопасность', 'системы безопасности', 'здания и сооружения', 'технические средства снижения риска', 'эксплуатация объектов']",русский,292,53195.2-2008,5,95.3,3.4,Введен впервые,ГОСТ Р 53195.2-2008 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Общие требования.pdf,Действующий,38
"Функциональная безопасность систем, связанных с безопасностью зданий и сооружений",Безопасность,2016-01-01,2025-08-26T03:08:37.894728+00:00,"Стандарт устанавливает требования к функциональной безопасности систем, связанных с безопасностью зданий и сооружений. Включает нормы требований к системам, документации, и управлению функциональной безопасностью, основываясь на международных стандартах IEC 61508-2:2010, IEC 61508-4:2010 и ISO/IEC Guide 51:2014.",ГОСТ Р,ГОСТ Р 53195.3-2015_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Требования к системам.pdf,ГОСТ Р 53195.3-2015 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Часть 3. Требования к системам,"['требования к системам', 'функциональная безопасность', 'документация', 'управление безопасностью']","['функциональная безопасность', 'системы безопасности', 'здания', 'сооружения', 'требования к системам']",русский,202,53195.3-2015,5,96.5,46.7,Введен впервые,ГОСТ Р 53195.3-2015_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Требования к системам.pdf,Действующий,69
Связанные с безопасностью зданий и сооружений системы,Безопасность функциональная,2018-10,2025-08-26T03:08:41.209898+00:00,"Стандарт устанавливает требования к программному обеспечению систем, связанных с безопасностью зданий и сооружений. В стандарте учтены международные стандарты IEC 61508-3:2010, IEC 61508-4:2010 и ISO/IEC Guide 51:1999. Документ введен впервые и переиздан в октябре 2018 года.",ГОСТ Р,ГОСТ Р 53195.4-2010_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Требования к программному обеспечению.pdf,ГОСТ Р 53195.4-2010 Безопасность функциональная связанных с безопасностью зданий и сооружений систем Часть 4 Требования к программному обеспечению,"['требования к программному обеспечению', 'функциональная безопасность', 'нормативные ссылки', 'термины и определения']","['функциональная безопасность', 'программное обеспечение', 'системы безопасности', 'здания', 'сооружения', 'ГОСТ Р 53195.4-2010']",Русский,119,53195.4-2010,5,97.3,0.0,Переиздание 2018,ГОСТ Р 53195.4-2010_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Требования к программному обеспечению.pdf,Действующий,41
,Пожарная безопасность,2011-01-01,2025-08-26T03:08:44.450544+00:00,"Стандарт устанавливает меры по снижению риска и методы оценки функциональной безопасности систем, связанных с безопасностью зданий и сооружений. Включает нормативные положения международных стандартов МЭК 61508-4:2010, МЭК 61508-7:2010 и руководство ИСО/МЭК 51:1999.",ГОСТ Р,"ГОСТ Р 53195.5-2010_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Меры по снижению риска, методы оценки.pdf","ГОСТ Р 53195.5-2010 Безопасность функциональная связанных с безопасностью зданий и сооружений систем. Часть 5. Меры по снижению риска, методы оценки","['функциональная безопасность', 'методы оценки риска', 'механизмы снижения риска']","['функциональная безопасность', 'системы безопасности', 'здания и сооружения', 'методы оценки', 'снижение риска']",русский,692,53195.5-2010,5,89.9,7.1,Введен впервые,"ГОСТ Р 53195.5-2010_Безопасность функциональная связанных с безопасностью зданий и сооружений систем Меры по снижению риска, методы оценки.pdf",Действующий,86
"Структурированные кабельные системы (СКС), обслуживающие типы коммерческих зданий и поддерживающие работу разнообразных приложений",Информационные технологии,2010-01-01,2025-08-26T03:08:48.904772+00:00,"Стандарт устанавливает общие требования проектирования основных элементов структурированной кабельной системы на основе витой пары проводников и волоконно-оптических компонентов. Распространяется на СКС, способные обслуживать различные типы коммерческих зданий, поддерживая работу приложений для передачи речи, данных, текстов, изображений и видео.",ГОСТ Р,ГОСТ Р 53246-2008 ИТ. Системы кабельные структурированные. Проектирование основных узлов системы. Общие требования.pdf,ГОСТ Р 53246-2008 Информационные технологии. Системы кабельные структурированные. Проектирование основных узлов системы. Общие требования,"['структурированная кабельная система', 'проектирование основных узлов', 'технические требования']","['структурированные кабельные системы', 'проектирование', 'вита пара', 'волоконно-оптические компоненты']",русский,594,53246-2008,5,89.8,1.8,Введен впервые,ГОСТ Р 53246-2008 ИТ. Системы кабельные структурированные. Проектирование основных узлов системы. Общие требования.pdf,Действующий,88
"Металлические пожарные маршевые и вертикальные лестницы, площадки и ограждения к ним, устанавливаемые стационарно снаружи жилых, промышленных, общественных зданий и сооружений",Пожарная безопасность,2019-10,2025-08-26T03:08:52.590692+00:00,"Стандарт устанавливает типы, основные параметры и размеры, общие технические требования, методы испытаний, правила и порядок оценки качества наружных пожарных лестниц и ограждений кровли, применяемых для эвакуации и обеспечения безопасности при пожаротушении.",ГОСТ Р,ГОСТ Р 53254-2009 Техника пожарная. Лестницы пожарные наружные стационарные. Ограждения кровли.pdf,ГОСТ Р 53254-2009 Техника Пожарная. Лестницы Пожарные Наружные Стационарные. Ограждения Кровли. Общие Технические Требования. Методы Испытаний (Переиздание),"['типология лестниц', 'параметры и размеры', 'технические требования', 'методы испытаний', 'оценка качества']","['пожарные лестницы', 'наружные лестницы', 'ограждения кровли', 'технические требования', 'методы испытаний']",русский,89,53254-2009,5,98.6,2.4,Переиздание,ГОСТ Р 53254-2009 Техника пожарная. Лестницы пожарные наружные стационарные. Ограждения кровли.pdf,Действующий,15
"Газовые огнетушащие вещества, применяемые в автоматических установках пожаротушения",Пожарная безопасность,2009-05-01,2025-08-26T03:08:55.618639+00:00,"Стандарт устанавливает методы испытаний газовых огнетушащих веществ, предназначенных для применения в автоматических установках пожаротушения для ликвидации горения. Включает методы определения минимальной огнетушащей концентрации.",ГОСТ Р,ГОСТ Р 53280.3-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 3. Газовые огнетушащие вещества.pdf,ГОСТ Р 53280.3—2009 Установки Пожаротушения Автоматические. Огнетушащие Вещества. Часть 3. Газовые Огнетушащие Вещества. Методы Испытаний,"['газовые огнетушащие вещества', 'методы испытаний', 'минимальная огнетушащая концентрация']","['автоматические установки пожаротушения', 'огнетушащие вещества', 'газовые огнетушащие вещества', 'методы испытаний', 'минимальная огнетушащая концентрация']",русский,329,53280.3—2009,5,90.2,0.0,Введен впервые,ГОСТ Р 53280.3-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 3. Газовые огнетушащие вещества.pdf,Действующий,12
"Огнетушащие порошки общего назначения, предназначенные для тушения пожаров классов А, В, С, Е",Пожарная безопасность,2009-05-01,2025-08-26T03:08:59.001838+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для автоматических установок пожаротушения с огнетушащими порошками общего назначения, предназначенными для тушения пожаров классов А, В, С, Е.",ГОСТ Р,ГОСТ Р 53280.4-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 4. Порошки огнетушащие общего назначения.pdf,ГОСТ Р 53280.4—2009 Установки пожаротушения автоматические. Огнетушащие вещества. Часть 4. Порошки огнетушащие общего назначения. Общие технические требования и методы испытаний,"['огнетушащие порошки', 'тушение пожаров', 'технические требования', 'испытания']","['установки пожаротушения', 'автоматические', 'огнетушащие вещества', 'порошки', 'технические требования', 'методы испытаний', 'пожарная безопасность']",Русский,246,53280.4—2009,5,94.8,2.3,Введен впервые,ГОСТ Р 53280.4-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 4. Порошки огнетушащие общего назначения.pdf,Действующий,16
"огнетушащие порошки специального назначения для автоматических и других средств тушения металлов, их соединений, горючих и легковоспламеняющихся жидкостей",Пожарная безопасность,2009-05-01,2025-08-26T03:09:03.524831+00:00,"Стандарт устанавливает классификацию, общие технические требования и методы испытаний порошков огнетушащих специального назначения, предназначенных для применения в автоматических установках пожаротушения и других средствах для тушения металлов, их соединений, горючих и легковоспламеняющихся жидкостей.",ГОСТ Р,ГОСТ Р 53280.5-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 5. Порошки огнетушащие специального назначения.pdf,"ГОСТ Р 53280.5—2009 Установки пожаротушения автоматические. Огнетушащие вещества. Часть 5. Порошки огнетушащие специального назначения. Классификация, общие технические требования и методы испытаний","['установки пожаротушения', 'огнетушащие вещества', 'классификация', 'технические требования', 'методы испытаний']","['порошки огнетушащие специального назначения', 'автоматические установки пожаротушения', 'огнетушащие вещества', 'классификация', 'технические требования', 'методы испытаний']",русский,329,53280.5—2009,5,93.0,11.4,Введен впервые,ГОСТ Р 53280.5-2009_Установки пожаротушения автоматические. Огнетушащие вещества. Часть 5. Порошки огнетушащие специального назначения.pdf,Действующий,14
"Модули и батареи газового пожаротушения, применяемые в автоматических установках для хранения и выпуска огнетушащего вещества",Пожарная безопасность,2010-01-01,2025-08-26T03:09:07.721126+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для модулей и батарей автоматических установок газового пожаротушения, используемых для хранения и выпуска огнетушащего вещества. Не распространяется на модули и батареи для противопожарной защиты транспортных средств.",ГОСТ Р,ГОСТ Р 53281-2009_Установки газового пожаротушения автоматические Модули и батареи.pdf,ГОСТ Р 53281-2009 Установки газового пожаротушения автоматические. Модули и батареи. Общие технические требования. Методы испытаний,"['область применения', 'нормативные ссылки', 'термины и определения', 'общие технические требования', 'требования безопасности', 'правила проведения испытаний', 'методы испытаний']","['автоматические установки газового пожаротушения', 'модули и батареи', 'технические требования', 'методы испытаний', 'огнетушащее вещество']",русский,181,53281-2009,5,94.9,0.0,Введен впервые,ГОСТ Р 53281-2009_Установки газового пожаротушения автоматические Модули и батареи.pdf,Действующий,16
"Изотермические пожарные резервуары, применяемые в автоматических установках газового пожаротушения для хранения и подачи двуокиси углерода, азота или аргона в сжиженном состоянии",Пожарная безопасность,2019-07,2025-08-26T03:09:12.294170+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для изотермических пожарных резервуаров, используемых в автоматических установках газового пожаротушения для хранения и подачи сжиженных газов: двуокиси углерода, азота и аргона. Введен впервые в 2010 году и переиздан в июле 2019 года.",ГОСТ Р,ГОСТ Р 53282-2009_Установки газового пожаротушения автоматические Резервуары изотермические пожарные.pdf,ГОСТ Р 53282-2009 Установки газового пожаротушения автоматические. Резервуары изотермические пожарные. Общие технические требования. Методы испытаний,"['технические требования к резервуарам', 'методы испытаний', 'безопасность', 'испытания']","['установки газового пожаротушения', 'резервуары изотермические пожарные', 'технические требования', 'методы испытаний', 'двуокись углерода', 'азот', 'аргон']",Русский,206,53282-2009,5,96.7,0.0,Переиздание 2019,ГОСТ Р 53282-2009_Установки газового пожаротушения автоматические Резервуары изотермические пожарные.pdf,Действующий,15
Распределительные устройства для пропуска газового огнетушащего вещества из автоматической установки газового пожаротушения по направлениям подачи в один из нескольких защищаемых объектов,Пожарная безопасность,2009-02-18,2025-08-26T03:09:15.814846+00:00,"Стандарт устанавливает основные параметры распределительных устройств автоматических установок газового пожаротушения, общие технические требования к устройствам и методы их испытаний. Стандарт не распространяется на устройства для противопожарной защиты транспортных средств и используется при разработке новых и модернизации существующих устройств.",ГОСТ Р,ГОСТ Р 53283-2009_Установки газового пожаротушения автоматические Устройства распределительные.pdf,Гост Р 53283-2009 Установки Газового Пожаротушения Автоматические Устройства Распределительные Общие Технические Требования. Методы Испытаний,"['пожаротушение', 'технические требования', 'испытания']","['автоматические установки газового пожаротушения', 'распределительные устройства', 'технические требования', 'методы испытаний', 'газовое огнетушащее вещество']",русский,172,53283-2009,5,92.9,3.6,Введен впервые,ГОСТ Р 53283-2009_Установки газового пожаротушения автоматические Устройства распределительные.pdf,Действующий,16
Автоматические установки порошкового пожаротушения. Модули,Пожарная безопасность,2009-02-18,2025-08-26T03:09:19.643952+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для автоматических установок порошкового пожаротушения, их модулей. Документ направлен на обеспечение безопасности и эффективности при использовании таких установок.",ГОСТ Р,ГОСТ Р 53286-2009_Техника пожарная Установки порошкового пожаротушения автоматические.модули .pdf,ГОСТ Р 53286—2009 Техника пожарная Установки порошкового пожаротушения автоматические. Модули. Общие технические требования. Методы испытаний,"['нормативные ссылки', 'термины и определения', 'классификация', 'технические требования', 'требования безопасности', 'приемка', 'методы испытаний', 'маркировка', 'упаковка', 'транспортирование и хранение']","['пожарная безопасность', 'установки порошкового пожаротушения', 'автоматические установки', 'модули', 'технические требования', 'методы испытаний']",русский,134,53286—2009,5,97.0,0.0,Введен впервые,ГОСТ Р 53286-2009_Техника пожарная Установки порошкового пожаротушения автоматические.модули .pdf,Действующий,24
"Установки водяного и пенного пожаротушения автоматические, модульные установки пожаротушения тонкораспыленной водой автоматические",Пожарная безопасность,2019-11,2025-08-26T03:09:24.257827+00:00,"Стандарт устанавливает общие технические требования и методы испытаний для автоматических установок водяного и пенного пожаротушения, в том числе модульных установок пожаротушения тонкораспыленной водой.",ГОСТ Р,ГОСТ Р 53288-2009_Установки водяного и пенного пожаротушения автоматические Модульные тонкораспыленной водой автоматические.pdf,Гост Р 53288-2009 Установки водяного и пенного пожаротушения автоматические. Модульные установки пожаротушения тонкораспыленной водой автоматические. Общие технические требования. Методы испытаний,"['технические требования', 'методы испытаний', 'безопасность']","['установки водяного пожаротушения', 'пенные пожаротушение', 'автоматические установки', 'модульные установки пожаротушения', 'тонкораспыленная вода', 'технические требования', 'методы испытаний']",Русский,143,53288-2009,5,94.0,3.0,Переиздание,ГОСТ Р 53288-2009_Установки водяного и пенного пожаротушения автоматические Модульные тонкораспыленной водой автоматические.pdf,Действующий,19
"Методы огневых испытаний водяных спринклерных оросителей для подвесных потолков (скрытых, потайных и углубленных)",Пожарная безопасность,2010-01-01,2025-08-26T03:09:27.706240+00:00,"Стандарт устанавливает методы огневых испытаний автоматических водяных спринклерных оросителей для подвесных потолков, включая скрытые, потайные и углубленные типы. Определяет области применения, условия и проведение испытаний, обработку результатов, а также требования безопасности.",ГОСТ Р,ГОСТ Р 53289-2009_Установки водяного пожаротушения автоматические Оросители спринклерные для подвесных потолков Огневые испытания.pdf,ГОСТ Р 53289-2009 Установки водяного пожаротушения автоматические Оросители спринклерные для подвесных потолков Огневые испытания,"['методы испытаний', 'пожарная безопасность', 'спринклерные системы', 'огнестойкость']","['водяное пожаротушение', 'спринклерные оросители', 'подвесные потолки', 'огневые испытания', 'автоматические установки']",русский,144,53289-2009,5,91.7,0.0,Введен впервые,ГОСТ Р 53289-2009_Установки водяного пожаротушения автоматические Оросители спринклерные для подвесных потолков Огневые испытания.pdf,Действующий,11
Огнезащитные составы и вещества для древесины и материалов на ее основе,Пожарная безопасность,2019-10-01,2025-08-26T03:09:31.516523+00:00,"Стандарт устанавливает общие требования к огнезащитным составам и веществам для древесины и материалов на ее основе, а также методы их испытаний. Предназначен для определения огнезащитных свойств, разработки технической документации, сертификации и контроля качества огнезащитных составов.",ГОСТ Р,ГОСТ Р 53292-2009 Огнезащитные составы и вещества для древесины и материалов на ее основе. Общие требования. Методы испытаний.pdf,ГОСТ Р 53292-2009 Огнезащитные составы и вещества для древесины и материалов на ее основе. Общие требования. Методы испытаний,"['огнезащитная эффективность', 'антипирены', 'обработка древесины', 'испытательные методы']","['огнезащитные составы', 'огнезащитные вещества', 'древесина', 'испытания', 'сертификация']",Русский,338,53292-2009,5,96.6,5.3,Переиздание,ГОСТ Р 53292-2009 Огнезащитные составы и вещества для древесины и материалов на ее основе. Общие требования. Методы испытаний.pdf,Действующий,18
"Пожарная безопасность веществ, материалов и средств огнезащиты, применение термического анализа для идентификации и испытаний на пожарную опасность",Пожарная безопасность,2019-10,2025-08-26T03:09:34.944829+00:00,"Стандарт устанавливает порядок и методы проведения термического анализа веществ, материалов и средств огнезащиты для определения их пожарной опасности, оценки огнезащитных свойств и проведения инспекционного контроля продукции. Применяется в строительстве, энергетике, текстильной промышленности и других областях, включает нормативные ссылки на другие стандарты.",ГОСТ Р,ГОСТ Р 53293-2009 Пожарная опасность веществ и материалов. Идентификация методом термического анализа.pdf,"ГОСТ Р 53293-2009 Пожарная опасность веществ и материалов. Материалы, вещества и средства огнезащиты. Идентификация методами термического анализа","['термический анализ', 'пожарная опасность', 'огнезащитные средства', 'стандартизация', 'испытания']","['пожарная опасность', 'вещества', 'материалы', 'огнезащита', 'термический анализ', 'идентификация']",Русский,282,53293-2009,5,95.4,5.1,Переиздание,ГОСТ Р 53293-2009 Пожарная опасность веществ и материалов. Идентификация методом термического анализа.pdf,Действующий,22
