area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
Тепловые сети бесканальной прокладки и их проектирование и строительство,Отопление,2023-12-28,2025-08-26T04:14:10.372124+00:00,"Данный свод правил регламентирует требования к проектированию и строительству тепловых сетей бесканальной прокладки. Разработан для соблюдения технических регламентов и стандартов в области безопасности зданий и сооружений, энергосбережения и пожарной безопасности.",Свод правил,СП 315.1325800.2017_Тепловые сети бесканальной прокладки. Правила проектирования (с изменением 1).pdf,Свод правил Тепловые сети бесканальной прокладки Правила проектирования,"['требования к проектированию', 'строительство тепловых сетей', 'энергосбережение', 'пожарная безопасность']","['тепловые сети', 'бесканальная прокладка', 'проектирование', 'строительство', 'технический регламент']",русский,233,315.1325800.2017,5,83.9,2.0,Изменение N 1,СП 315.1325800.2017_Тепловые сети бесканальной прокладки. Правила проектирования (с изменением 1).pdf,Действующий,65
Проектирование контейнерных терминалов на территории Российской Федерации,Строительство,2019-11-25,2025-08-26T04:14:16.606256+00:00,"Данный свод правил устанавливает требования и правила проектирования контейнерных терминалов в России. В документе учитываются федеральные законы и нормативные ссылки на ГОСТ, обеспечивающие безопасность и технические условия при проектировании объектов.",Свод правил,СП 316.1325800.2017_Терминалы контейнерные. Правила проектирования (с Изменением 1).pdf,Свод правил СП 316.1325800.2017 Терминалы контейнерные. Правила проектирования,"['проектирование', 'безопасность', 'нормативные ссылки', 'строительство контейнерных терминалов']","['терминалы контейнерные', 'правила проектирования', 'контейнерные терминалы', 'строительство', 'проектирование']",Русский,300,316.1325800.2017,5,83.8,0.0,"Изменение N 1, утв. Приказом Минстроя России от 25.11.2019 N 727/пр",СП 316.1325800.2017_Терминалы контейнерные. Правила проектирования (с Изменением 1).pdf,Действующий,117
"Устанавливает общие правила производства работ, выполняемых в составе инженерно-геодезических изысканий для подготовки документов территориального планирования и документации по планировке территории, архитектурно-строительного проектирования, при строительстве и реконструкции объектов капитального строительства",Инженерно-геодезические изыскания,2022-05-30,2025-08-26T04:14:22.814858+00:00,"Документ определяет общие правила выполнения инженерно-геодезических изысканий для строительства, учитывая требования федеральных законов и постановлений правительства. Введен в действие приказом Минстроя России от 22 декабря 2017 года с изменениями от 30 мая 2022 года.",Свод правил,"СП 317.1325800.2017_Инженерно-геодезические изыскания для строительства. Общие правила производства работ (с изменениями 1, 2).pdf",Свод правил Инженерно-геодезические изыскания для строительства. Общие правила производства работ,"['общие правила производства работ', 'инженерно-геодезические изыскания', 'строительство']","['инженерно-геодезические изыскания', 'строительство', 'производство работ', 'территориальное планирование', 'архитектурно-строительное проектирование', 'реконструкция объектов капитального строительства']",Русский,296,317.1325800.2017,5,92.0,0.0,Изм. 1,"СП 317.1325800.2017_Инженерно-геодезические изыскания для строительства. Общие правила производства работ (с изменениями 1, 2).pdf",Действующий,88
Здания и помещения медицинских организаций,Эксплуатация зданий медицинских организаций,2018-06-19,2025-08-26T04:14:26.480012+00:00,Настоящий свод правил устанавливает требования к зданиям и помещениям медицинских организаций различного функционального назначения в условиях нормальной эксплуатации. Документ разработан для обеспечения безопасности и надлежащей эксплуатации зданий и помещений медицинских учреждений в соответствии с федеральными законами и техническими регламентами.,Свод правил,СП 319.1325800.2017 Здания и помещения медицинских организаций. Правила эксплуатации.pdf,Свод правил Здания и помещения медицинских организаций. Правила эксплуатации,"['требования к эксплуатации', 'безопасность зданий', 'медицинские организации', 'строительные нормы']","['здания медицинских организаций', 'эксплуатация', 'безопасность', 'медицинские помещения', 'технические регламенты']",русский,256,319.1325800.2017,5,94.4,1.0,Введен впервые,СП 319.1325800.2017 Здания и помещения медицинских организаций. Правила эксплуатации.pdf,Действующий,25
"Проектирование, эксплуатация, реконструкция и ликвидация объектов размещения твердых коммунальных отходов (ТКО) — полигонов, а также ликвидация объектов накопленного экологического вреда, на которых захоронены ТКО",Отходы,2022-03-16,2025-08-26T04:14:31.324562+00:00,"Свод правил устанавливает требования к проектированию, эксплуатации и рекультивации полигонов для твердых коммунальных отходов. Документ разработан в соответствии с рядом федеральных законов, регулирующих безопасность зданий, пожарную безопасность, охрану окружающей среды и обращение с отходами. Введен впервые 18 мая 2018 года, с последующим изменением, утвержденным в 2022 году.",Свод правил,"СП 320.1325800.2017 Полигоны для твердых коммунальных отходов. Проектирование, эксплуатация и рекультивация (с Изменением 1).pdf","Свод правил Полигны для твердых коммунальных отходов. Проектирование, эксплуатация и рекультивация","['проектирование полигонов', 'эксплуатация полигонов', 'рекультивация полигонов', 'нормативные требования']","['полигоны для твердых коммунальных отходов', 'проектирование', 'эксплуатация', 'рекультивация', 'технический регламент', 'безопасность зданий', 'экология']",Русский,298,320.1325800.2017,5,92.2,2.3,Изменение N 1,"СП 320.1325800.2017 Полигоны для твердых коммунальных отходов. Проектирование, эксплуатация и рекультивация (с Изменением 1).pdf",Действующий,38
"Требования к организации демонтажа и утилизации конструкций зданий и сооружений гражданского и производственного назначения, исключенных из государственного реестра опасных производственных объектов",Здания и сооружения,2021-12-23,2025-08-26T04:14:36.194573+00:00,"Настоящий свод правил устанавливает требования к организации демонтажа (сноса) и утилизации конструкций зданий и сооружений гражданского и производственного назначения. Документ разработан в соответствии с федеральными законами и постановлениями, утверждён приказом Минстроя России и введён в действие с 1 марта 2018 года с изменением, утверждённым 23 декабря 2021 года.",Свод правил,СП 325.1325800.2017 Здания и сооружения. Правила производства работ при демонтаже и утилизации.pdf,Свод правил СП 325.1325800.2017 Здания и сооружения. Правила производства работ при демонтаже и утилизации,"['Организация демонтажа', 'утилизация конструкций', 'техническое регулирование', 'безопасность труда']","['демонтаж', 'утилизация', 'здания', 'сооружения', 'строительство', 'правила производства работ']",Русский,237,325.1325800.2017,5,89.9,0.0,Изменение N 1,СП 325.1325800.2017 Здания и сооружения. Правила производства работ при демонтаже и утилизации.pdf,Действующий,58
"Проектирование, эксплуатация и ремонт многослойных наружных стен с лицевым слоем из кирпичной кладки для климатических условий России. Не распространяется на проектирование зданий и сооружений, подверженных динамическим нагрузкам, возводимых на подрабатываемых территориях, вечномерзлых грунтах и в сейсмоопасных районах.",Архитектура,2024-11-22,2025-08-26T04:14:41.354877+00:00,"Данный свод правил устанавливает нормы и требования к проектированию, эксплуатации и ремонту многослойных наружных стен с лицевым кирпичным слоем в климатических условиях России. Включает методики расчета, требования к материалам, конструкционным решениям и техническому обслуживанию. Документ пересматривается и дополняется с учетом актуальных изменений, утвержден Министерством строительства и жилищно-коммунального хозяйства Российской Федерации.",Свод правил,"СП 327.1325800.2017_Стены наружные с лицевым кирпичным слоем (с изменениями 1, 2, 3).pdf","Свод правил Стены наружные с лицевым кирпичным слоем. Правила проектирования, эксплуатации и ремонта","['технические регламенты', 'строительные конструкции', 'надежность и безопасность', 'климатические условия']","['внешние стены', 'кирпичный слой', 'проектирование', 'эксплуатация', 'ремонт', 'многослойные стены', 'строительство']",Русский,294,327.1325800.2017,5,83.6,0.0,Изменения N 3,"СП 327.1325800.2017_Стены наружные с лицевым кирпичным слоем (с изменениями 1, 2, 3).pdf",Действующий,77
Проектирование спортивных сооружений,Архитектура,2023-12-28,2025-08-26T04:14:45.230442+00:00,"Данный свод правил устанавливает требования и нормы проектирования спортивных сооружений. Документ утвержден Министерством строительства и жилищно-коммунального хозяйства Российской Федерации и введен в действие с 15 мая 2018 года. Включает изменения, утвержденные в 2019, 2022 и 2023 годах.",Свод правил,"СП 332.1325800.2017_Спортивные сооружения (с изменениями 1, 2, 3, 4).pdf",Свод правил Спортивные сооружения Правила проектирования,"['технические регламенты', 'энергосбережение', 'пожарная безопасность', 'общественная безопасность']","['спортивные сооружения', 'правила проектирования', 'строительство', 'архитектура']",русский,255,332.1325800.2017,5,75.7,11.8,Изменения N 4,"СП 332.1325800.2017_Спортивные сооружения (с изменениями 1, 2, 3, 4).pdf",Действующий,227
"Проектирование квартирных тепловых пунктов в многоквартирных жилых домах, в том числе блокированных жилых домов, на этапе нового строительства и реконструкции при использовании горизонтальной поквартирной разводки системы отопления",Отопление,2018-03-02,2025-08-26T04:14:53.088034+00:00,"Настоящий свод правил устанавливает требования к проектированию квартирных тепловых пунктов в многоквартирных жилых домах с учетом норм и правил по отоплению, вентиляции и другим системам. Документ разработан с учетом федеральных законов и строительных норм, актуализирован и введен в действие с 2 марта 2018 года приказом Минстроя России.",Свод правил,СП 334.1325800.2017_Квартирные тепловые пункты в многоквартирных жилых домах. Правила проектирования.pdf,Свод правил Квартирные тепловые пункты в многоквартирных жилых домах. Правила проектирования,"['проектирование тепловых пунктов', 'квартирные тепловые пункты', 'отопление многоквартирных домов', 'нормативные документы', 'энергосбережение', 'пожарная безопасность']","['квартирные тепловые пункты', 'многоквартирные жилые дома', 'проекты отопления', 'горизонтальная поквартирная разводка', 'СП 124.13330', 'СП 60.13330', 'СП 30.13330', 'СП 54.13330']",Русский,282,334.1325800.2017,5,91.2,0.0,Введен впервые,СП 334.1325800.2017_Квартирные тепловые пункты в многоквартирных жилых домах. Правила проектирования.pdf,Действующий,39
Крупнопанельные жилые здания из сборных бетонных и железобетонных элементов высотой не более 75 м,Архитектура,2020-12-17,2025-08-26T04:14:57.053828+00:00,"Настоящий свод правил устанавливает общие требования к расчету и проектированию конструктивных систем крупнопанельных жилых зданий. Включает нормативные ссылки и требования, с учетом изменений, утвержденных Приказом Минстроя России 17.12.2020 N 798/пр.",Свод правил,СП 335.1325800.2017_Крупнопанельные конструктивные системы. Правила проектирования (с изменением 1).pdf,Свод правил Крупнопанельные конструктивные системы. Правила проектирования,"['требования к расчету', 'проектирование конструктивных систем', 'нормативные документы', 'изменения']","['крупнопанельные конструкции', 'проектирование', 'жилые здания', 'бетонные и железобетонные элементы', 'расчет конструкций']",Русский,319,335.1325800.2017,5,85.1,1.9,Изм. 1,СП 335.1325800.2017_Крупнопанельные конструктивные системы. Правила проектирования (с изменением 1).pdf,Действующий,90
Правила эксплуатации систем вентиляции и кондиционирования воздуха зданий (сооружений) различного функционального назначения,Вентиляция и кондиционирование,2018-03-16,2025-08-26T04:15:00.732434+00:00,"Данный свод правил устанавливает правила эксплуатации систем вентиляции и кондиционирования воздуха зданий различного функционального назначения. Не распространяется на системы вентиляции и кондиционирования особо опасных и технически сложных объектов, а также на вентиляционные системы защитных сооружений, объектов с радиоактивными веществами, взрывчатыми веществами и специального технологического оборудования.",Свод правил,СП 336.1325800.2017 Системы вентиляции и кондиционирования воздуха. Правила эксплуатации.pdf,СП 336.1325800.2017 Системы вентиляции и кондиционирования воздуха. Правила эксплуатации,"['эксплуатация систем вентиляции', 'эксплуатация систем кондиционирования', 'требования безопасности', 'рабочие нормы']","['системы вентиляции', 'системы кондиционирования', 'правила эксплуатации', 'здания и сооружения', 'технические регламенты']",Русский,281,336.1325800.2017,5,93.7,0.8,Введен впервые,СП 336.1325800.2017 Системы вентиляции и кондиционирования воздуха. Правила эксплуатации.pdf,Действующий,31
"Проектирование железобетонных элементов сборно-монолитных конструкций из тяжелого бетона на цементном вяжущем, эксплуатируемых в климатических условиях России",Конструкции железобетонные,2018-06-14,2025-08-26T04:15:05.106009+00:00,"Настоящий свод правил содержит требования к расчету и проектированию сборно-монолитных конструкций жилых и общественных зданий с учетом обязательных требований Федеральных законов и технических регламентов. Документ распространяется на проектирование железобетонных элементов сборно-монолитных конструкций из тяжелого бетона и не распространяется на гидротехнические сооружения, мосты, покрытия автомобильных дорог и аэродромов, а также специальные конструкции и конструкции особой природы бетонов.",Свод правил,СП 337.1325800.2017_Конструкции железобетонные сборно-монолитные. Правила проектирования.pdf,Свод правил Конструкции железобетонные сборно-монолитные. Правила проектирования,"['требования к расчету', 'проектирование сборно-монолитных конструкций', 'нормативные ссылки', 'термины и определения']","['железобетонные конструкции', 'сборно-монолитные конструкции', 'проектирование', 'тяжелый бетон', 'конструкции жилых и общественных зданий']",русский,387,337.1325800.2017,5,65.2,1.8,Введен впервые,СП 337.1325800.2017_Конструкции железобетонные сборно-монолитные. Правила проектирования.pdf,Действующий,69
"Акустические расчеты по оценке степени акустического воздействия на селитебной территории и иных нормируемых объектах, расположенных вблизи высокоскоростных железнодорожных линий (со скоростью движения поездов от 250 до 400 км/ч), проектирование и выбор мероприятий по снижению шума в соответствии с санитарными нормами, а также подбор и размещение шумозащитных экранов",Пожарная безопасность,2018-08-06,2025-08-26T04:15:11.725200+00:00,"Данный свод правил устанавливает требования к выполнению акустических расчетов и проектированию мероприятий по снижению шума для высокоскоростных железнодорожных линий с целью защиты от шума. Документ регламентирует требования к размещению и подбору шумозащитных экранов для линий с поездами, движущимися со скоростью от 250 до 400 км/ч.",Свод правил,СП 338.1325800.2018_Защита от шума для высокоскоростных железнодорожных линий.pdf,СП 338.1325800.2018 Свод Правил Защита От Шума Для Высокоскоростных Железнодорожных Линий Правила Проектирования И Строительства,"['защита от шума', 'проектирование', 'строительство', 'высокоскоростные железнодорожные линии']","['шумозащита', 'высокоскоростные железнодорожные линии', 'акустические расчеты', 'санитарные нормы', 'шумозащитные экраны']",русский,278,338.1325800.2018,5,88.7,0.0,Введен впервые,СП 338.1325800.2018_Защита от шума для высокоскоростных железнодорожных линий.pdf,Действующий,156
"Проектирование бетонных и железобетонных конструкций и кладки стен из мелких блоков из ячеистых бетонов и ячеистых фибробетонов автоклавного и неавтоклавного твердения для жилых, производственных и сельскохозяйственных зданий с сухим, нормальным и влажным режимами эксплуатации с относительной влажностью воздуха не более 75% и неагрессивной средой",Конструкции,2022-12-27,2025-08-26T04:15:16.819274+00:00,"Настоящий свод правил устанавливает требования к проектированию бетонных и железобетонных конструкций и кладки из ячеистых бетонов и фибробетонов, предназначенных для различных зданий. Документ учитывает условия эксплуатации и не распространяется на предварительно напряженные конструкции и панели специального назначения.",Свод правил,СП 339.1325800.2017_Конструкции из ячеистых бетонов. Правила проектирования (с изменением 1).pdf,Свод Правил Конструкции Из Ячеистых Бетонов. Правила Проектирования,"['проектирование конструкций', 'бетон', 'железобетон', 'ячеистый бетон', 'энергосбережение', 'пожарная безопасность']","['свод правил', 'ячеистый бетон', 'проектирование', 'конструкции', 'железобетон', 'фибробетон', 'строительство', 'здания']",русский,345,339.1325800.2017,5,86.9,14.1,Изменение N 1,СП 339.1325800.2017_Конструкции из ячеистых бетонов. Правила проектирования (с изменением 1).pdf,Действующий,96
"Проектирование и монтаж холодных и горячих водопроводов и трубопроводов водяного отопления из труб из ""сшитого"" полиэтилена (ПЭ-С) во вновь возводимых, реконструируемых или капитально ремонтируемых зданиях и сооружениях.",Системы водоснабжения,2018-03-19,2025-08-26T04:15:21.389517+00:00,"Настоящий свод правил устанавливает нормы проектирования и монтажа систем водоснабжения и отопления зданий с использованием труб из ""сшитого"" полиэтилена ПЭ-С. В документе рассмотрены особенности трассировки и монтажа трубопроводов, а также выбор оптимальных мест креплений. Не распространяется на специальные объекты, такие как защитные сооружения гражданской обороны и здания с особыми условиями эксплуатации.",Свод правил,СП 344.1325800.2017 Системы водоснабжения и отопления внутренние с использованием труб из сшитого полиэтилена..pdf,"Свод правил Системы водоснабжения и отопления зданий внутренние с использованием труб из ""сшитого"" полиэтилена. Правила проектирования и монтажа","['нормы проектирования', 'монтаж трубопроводов', 'применение труб из сшитого полиэтилена', 'проектирование внутренних систем водоснабжения и отопления']","['водоснабжение', 'отопление', 'сшитый полиэтилен', 'монтаж трубопроводов', 'проектирование систем', 'трубопроводы водяного отопления', 'холодное и горячее водоснабжение']",Русский,300,344.1325800.2017,5,94.7,0.0,Введен впервые,СП 344.1325800.2017 Системы водоснабжения и отопления внутренние с использованием труб из сшитого полиэтилена..pdf,Действующий,41
"Проектирование, строительство, реконструкция, капитальный ремонт и техническое перевооружение систем газовоздушных трактов котельных установок мощностью до 150 МВт",Отопление,2018-03-16,2025-08-26T04:15:24.894778+00:00,"Данный свод правил устанавливает требования к проектированию, строительству, реконструкции, капитальному ремонту и техническому перевооружению систем газовоздушных трактов котельных тепловой мощностью до 150 МВт, обеспечивая безопасность и эксплуатационные характеристики согласно действующему законодательству.",Свод правил,СП 346.1325800.2017_Системы газовоздушных трактов котельных установок мощностью до 150 МВт.pdf,Свод правил Системы газовоздушных трактов котельных установок мощностью до 150 МВт. Правила проектирования,"['требования к проектированию', 'эксплуатационные характеристики', 'безопасность котельных', 'материалы и технологии']","['газовоздушные тракты', 'котельные установки', 'проектирование', 'безопасность', 'тепловая мощность']",Русский,234,346.1325800.2017,5,92.6,1.1,Введен впервые,СП 346.1325800.2017_Системы газовоздушных трактов котельных установок мощностью до 150 МВт.pdf,Действующий,40
"Эксплуатация внутренних систем отопления, горячего и холодного водоснабжения зданий и сооружений",Отопление,2018-06-06,2025-08-26T04:15:28.373751+00:00,"Свод правил устанавливает основные положения по эксплуатации внутренних систем отопления, горячего и холодного водоснабжения зданий и сооружений, обеспечивая условия для жизнедеятельности людей, безопасность и надежную работу оборудования при соблюдении эксплуатационных параметров согласно проектным данным и нормативным документам.",Свод правил,"СП 347.1325800.2017 Внутренние системы отопления, горячего и холодного водоснабжения. Правила эксплуатации.pdf","СП 347.1325800.2017 Внутренние системы отопления, горячего и холодного водоснабжения. Правила эксплуатации","['эксплуатация систем отопления', 'горячее и холодное водоснабжение', 'теплоснабжение', 'трубопроводы']","['внутренние системы отопления', 'горячее водоснабжение', 'холодное водоснабжение', 'правила эксплуатации', 'теплоснабжение']",Русский,186,347.1325800.2017,5,97.0,3.2,Введен впервые,"СП 347.1325800.2017 Внутренние системы отопления, горячего и холодного водоснабжения. Правила эксплуатации.pdf",Действующий,31
"Проектирование новых и реконструкция существующих индустриальных парков и промышленных кластеров, расположенных на территории городских и сельских поселений",Архитектура,2023-12-22,2025-08-26T04:15:32.019806+00:00,Данный свод правил устанавливает требования к проектированию индустриальных парков и промышленных кластеров. Он включает правила планировки и застройки таких объектов и направлен на обеспечение безопасности и эффективности строительства.,Свод правил,"СП 348.1325800.2017_Индустриальные парки и промышленные кластеры. Правила проектирования (с изменениями 1, 2).pdf",Свод правил Индустриальные парки и промышленные кластеры. Правила проектирования,"['Требования к проектированию', 'Правила планировки', 'Реконструкция и новое строительство']","['индустриальные парки', 'промышленные кластеры', 'проектирование', 'планировка', 'застройка']",Русский,394,348.1325800.2017,5,79.4,1.1,"Изменения N 2, утв. Приказом Минстроя России от 22.12.2023 N 975/пр","СП 348.1325800.2017_Индустриальные парки и промышленные кластеры. Правила проектирования (с изменениями 1, 2).pdf",Действующий,104
Проектирование бетонных и железобетонных конструкций из легких бетонов для зданий и сооружений в климатических условиях Российской Федерации,Строительство,2020-12-15,2025-08-26T04:15:35.554375+00:00,"Свод правил устанавливает требования к проектированию бетонных и железобетонных конструкций из легких бетонов для различных зданий и сооружений в климатических условиях России. Документ подготовлен АО ""НИЦ ""Строительство"" - НИИЖБ им. А.А. Гвоздева и утвержден Министерством строительства и жилищно-коммунального хозяйства РФ. Включает технические нормы, условия применения и исключения.",Свод правил,СП 351.1325800.2017_Бетонные и железобетонные конструкции из легких бетонов. Правила проектирования (с изменением 1).pdf,Свод правил Бетонные и железобетонные конструкции из легких бетонов Правила проектирования,"['технические регламенты', 'проектные нормы', 'легкие бетоны', 'строительные конструкции']","['бетонные конструкции', 'железобетонные конструкции', 'легкие бетоны', 'проектирование', 'строительство', 'нормативные документы']",Русский,352,351.1325800.2017,5,78.6,0.7,Изменение N 1,СП 351.1325800.2017_Бетонные и железобетонные конструкции из легких бетонов. Правила проектирования (с изменением 1).pdf,Действующий,171
Проектирование каркасных железобетонных сборных конструкций многоэтажных зданий,Конструкции,2018-06-14,2025-08-26T04:15:39.066889+00:00,"Данный свод правил устанавливает правила проектирования каркасных железобетонных сборных конструкций многоэтажных зданий. Включает унификацию габаритных схем, классификацию конструктивных схем, расчет несущей системы здания и проектирование различных элементов железобетонных конструкций.",Свод правил,СП 356.1325800.2017_Конструкции каркасные железобетонные сборные многоэтажных зданий.pdf,Свод правил СП 356.1325800.2017 Конструкции каркасные железобетонные сборные многоэтажных зданий. Правила проектирования,"['унфикационные схемы', 'конструктивные схемы', 'расчет несущих систем', 'железобетонные конструкции', 'фундаменты', 'колонны', 'ригели', 'плиты перекрытий']","['каркасные конструкции', 'железобетонные конструкции', 'сборные конструкции', 'многоэтажные здания', 'проектирование']",Русский,262,356.1325800.2017,5,83.9,25.0,Введен впервые,СП 356.1325800.2017_Конструкции каркасные железобетонные сборные многоэтажных зданий.pdf,Действующий,83
Защитные мероприятия в зоне влияния строительства подземных объектов,Здания и сооружения,2018-05-15,2025-08-26T04:15:42.663517+00:00,"Данный свод правил устанавливает требования и рекомендации по проведению защитных мероприятий при строительстве подземных объектов, включая инженерно-геологические и геотехнические изыскания, обследование конструкций существующих зданий, оценку влияния строительства на окружающую застройку и проектирование защитных мероприятий.",Свод правил,СП 361.1325800.2017_Здания и сооружения. Защитные мероприятия в зоне влияния строительства подземных объектов.pdf,Свод правил СП 361.1325800.2017 Здания и сооружения. Защитные мероприятия в зоне влияния строительства подземных объектов,"['область применения', 'нормативные ссылки', 'термины и определения', 'требования к инженерно-геологическим и инженерно-геотехническим изысканиям', 'обследование конструкций зданий и сооружений', 'оценка влияния нового строительства', 'проектирование мероприятий']","['защитные мероприятия', 'строительство подземных объектов', 'инженерно-геологические изыскания', 'обследование конструкций', 'оценка влияния строительства', 'проектирование защитных мероприятий']",Русский,270,361.1325800.2017,5,93.5,0.9,Введен впервые,СП 361.1325800.2017_Здания и сооружения. Защитные мероприятия в зоне влияния строительства подземных объектов.pdf,Действующий,61
"Проектирование и расчет ограждающих конструкций крыш, наружных стен, подвесных потолков и внутренних перегородок с применением трехслойных панелей типа сэндвич",Архитектура,2021-12-27,2025-08-26T04:15:46.283465+00:00,"Настоящий свод правил содержит требования по расчету и проектированию ограждающих конструкций из трехслойных панелей типа сэндвич, включая использование различных утеплителей. Документ разработан для совершенствования технологий проектирования, производства и устройства ограждающих конструкций из трехслойных панелей.",Свод правил,СП 362.1325800.2017_Ограждающие конструкции из трехслойных панелей. Правила проектирования (с изменением 1).pdf,СП 362.1325800.2017 Ограждающие конструкции из трехслойных панелей. Правила проектирования,"['требования к проектированию', 'расчет ограждающих конструкций', 'нормативные ссылки']","['ограждающие конструкции', 'трехслойные панели', 'сэндвич панели', 'проектирование', 'расчет']",Русский,266,362.1325800.2017,5,87.9,2.8,Изм.1,СП 362.1325800.2017_Ограждающие конструкции из трехслойных панелей. Правила проектирования (с изменением 1).pdf,Действующий,84
