area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
,Отопление,2003-03-24,2025-08-26T03:38:51.690360+00:00,"Документ устанавливает правила технической эксплуатации тепловых энергоустановок, определяет термины и понятия, применяемые в системе теплоснабжения, и регулирует порядок эксплуатации, технического обслуживания и ремонта тепловых энергоустановок.",Приказ Минэнерго,Приказ Минэнерго России 115 от 24.03.2003 Правила технической эксплуатации тепловых энергоустановок.pdf,Правила технической эксплуатации тепловых энергоустановок,"['определения', 'работа тепловых энергоустановок', 'техническое обслуживание', 'эксплуатация', 'теплоснабжение']","['тепловые энергоустановки', 'техническая эксплуатация', 'теплоснабжение', 'теплозащита', 'водоподогреватель', 'теплогенерация', 'эксплуатация']",русский,330,115,5,82.2,0.0,,Приказ Минэнерго России 115 от 24.03.2003 Правила технической эксплуатации тепловых энергоустановок.pdf,Действующий,137
"Обучение лиц, осуществляющих трудовую или служебную деятельность, по программам противопожарного инструктажа и дополнительным профессиональным программам в области пожарной безопасности",Пожарная безопасность,2024-12-16,2025-08-26T03:38:57.176690+00:00,"Приказ МЧС России определяет порядок, виды и сроки обучения работников по программам противопожарного инструктажа, включая требования к содержанию программ, порядок их утверждения и согласования, а также категории лиц, проходящих обучение по дополнительным профессиональным программам в области пожарной безопасности. Документ вводится в силу с 1 сентября 2025 года и действует до 1 сентября 2031 года.",Приказ МЧС,"Приказ МЧС 1120 от 16.12.2024 (действ. с 01.09.2025) Об определении Порядка, видов, сроков обучения лиц в области ПБ (изм. на 16.12.2024).pdf","Приказ МЧС России от 16 декабря 2024 года N 1120 Об определении порядка, видов, сроков обучения лиц, осуществляющих трудовую или служебную деятельность, по программам противопожарного инструктажа, требований к содержанию указанных программ, порядка их утверждения и согласования и категорий лиц, проходящих обучение по дополнительным профессиональным программам в области пожарной безопасности","['порядок обучения', 'виды инструктажей', 'сроки обучения', 'требования к программам', 'утверждение программ', 'категории обучающихся']","['противопожарный инструктаж', 'обучение', 'пожарная безопасность', 'программы обучения', 'дополнительные профессиональные программы', 'согласование программ']",Русский,2266,1120,5,60.0,66.7,,"Приказ МЧС 1120 от 16.12.2024 (действ. с 01.09.2025) Об определении Порядка, видов, сроков обучения лиц в области ПБ (изм. на 16.12.2024).pdf",Действующий,12
"Определение расчетных величин пожарного риска в зданиях, сооружениях и пожарных отсеках различных классов функциональной пожарной опасности",Пожарная безопасность,2023-09-01,2025-08-26T03:39:02.501627+00:00,"Документ утверждает методику определения расчетных величин пожарного риска в зданиях, сооружениях и пожарных отсеках различных классов функциональной пожарной опасности, устанавливает порядок оценки пожарного риска с учетом анализа пожарной опасности, частоты возникновения пожаров и последствий для людей.",Приказ МЧС,Приказ МЧС 1140 от 14.11.2022 Об утверждении методики определения расчетных величин пожарного риска.pdf,"Методика определения расчетных величин пожарного риска в зданиях, сооружениях и пожарных отсеках различных классов функциональной пожарной опасности","['определение пожарного риска', 'анализ пожарной опасности', 'частота возникновения пожаров', 'оценка последствий пожаров']","['пожарный риск', 'расчетная величина', 'здания', 'сооружения', 'пожарные отсеки', 'функциональная пожарная опасность', 'методика']",Русский,1819,382,5,32.3,0.0,Утверждено приказом МЧС России от 4 августа 2023 г.,Приказ МЧС 1140 от 14.11.2022 Об утверждении методики определения расчетных величин пожарного риска.pdf,Действующий,65
"Обучение работников, соискателей лицензии и лицензиатов, осуществляющих лицензируемые виды деятельности в области пожарной безопасности, а также физических лиц, осуществляющих проектирование средств обеспечения пожарной безопасности зданий и сооружений",Пожарная безопасность,2022-11-15,2025-08-26T03:39:07.738061+00:00,"Документ утверждает типовые дополнительные профессиональные программы для профессиональной переподготовки и повышения квалификации работников, связанных с монтажом, техническим обслуживанием, ремонтом и проектированием средств обеспечения пожарной безопасности в зданиях и сооружениях.",Приказ МЧС,Приказ МЧС 1156 от 15.11.2022 Об утверждении типовых дополнительных профессиональных программ в области ПБ.pdf,"Приказ МЧС России от 15 ноября 2022 года N 1156 Об утверждении типовых дополнительных профессиональных программ, применяемых при обучении работников соискателей лицензии или лицензиатов, осуществляющих лицензируемые виды деятельности в области пожарной безопасности, а также физических лиц, осуществляющих проектирование средств обеспечения пожарной безопасности зданий и сооружений","['дополнительное профессиональное образование', 'пожарная безопасность', 'обучение и аттестация', 'профессиональная переподготовка', 'повышение квалификации']","['типовые дополнительные профессиональные программы', 'пожарная безопасность', 'профессиональная переподготовка', 'повышение квалификации', 'лицензируемые виды деятельности', 'проектирование средств обеспечения пожарной безопасности']",русский,1716,1156,5,46.3,16.7,,Приказ МЧС 1156 от 15.11.2022 Об утверждении типовых дополнительных профессиональных программ в области ПБ.pdf,Действующий,38
"Проектирование систем передачи извещений о пожаре для оснащения зданий, включая пожарные отсеки",Пожарная безопасность,2022-11-24,2025-08-26T03:39:11.204427+00:00,"Документ устанавливает требования к проектированию систем передачи извещений о пожаре (СПИ), включая технические характеристики и условия реализации связи. Приказ направлен на обеспечение функциональности и надежности систем пожарного оповещения в зданиях.",Приказ МЧС,Приказ МЧС 1173 от 24.11.2022 Требования к проектированию систем передачи извещений о пожаре.pdf,Приказ МЧС России от 24 ноября 2022 года N 1173 Об утверждении требований к проектированию систем передачи извещений о пожаре,"['требования к проектированию', 'характеристики систем передачи', 'нормативные документы']","['проектирование', 'системы передачи извещений о пожаре', 'пожарная безопасность', 'МЧС России', 'технические требования']",русский,2060,1173,4,33.3,0.0,Введен впервые,Приказ МЧС 1173 от 24.11.2022 Требования к проектированию систем передачи извещений о пожаре.pdf,Действующий,4
"Дополнительные профессиональные программы повышения квалификации в области пожарной безопасности для руководителей организаций, ответственных лиц и специалистов по противопожарной профилактике",Пожарная безопасность,2021-09-05,2025-08-26T03:39:15.635970+00:00,"Документ утверждает типовые дополнительные профессиональные программы повышения квалификации и профессиональной переподготовки в области пожарной безопасности. Включает программы для руководителей организаций, ответственных лиц за пожарную безопасность, а также специалистов, проводящих противопожарный инструктаж.",Приказ МЧС,Приказ МЧС 596 от 05.09.2021 Об утверждении типовых дополнительных профессиональных программ в области пожарной безопасности.pdf,Приказ МЧС от 5 сентября 2021 года N 596 Об утверждении типовых дополнительных профессиональных программ в области пожарной безопасности,"['пожарная безопасность', 'образование', 'профессиональное обучение', 'повышение квалификации', 'противопожарный инструктаж']","['типовые программы', 'пожарная безопасность', 'повышение квалификации', 'профессиональная переподготовка', 'руководители организаций', 'ответственные лица', 'противопожарный инструктаж']",Русский,3002,596,5,21.8,38.5,,Приказ МЧС 596 от 05.09.2021 Об утверждении типовых дополнительных профессиональных программ в области пожарной безопасности.pdf,Действующий,72
Обучение работников организаций мерам противопожарной безопасности,Пожарная безопасность,2021-11-18,2025-08-26T03:39:21.262597+00:00,"Документ определяет порядок, виды и сроки обучения работников организаций по программам противопожарного инструктажа, требования к содержанию этих программ и категории лиц, проходящих дополнительное обучение по пожарной безопасности. Приказ устанавливает обязательные правила обучения и отменяет предыдущие нормативные акты в данной сфере.",Приказ МЧС,"Приказ МЧС 806 от 18.11.2021 (действ. до 01.09.2025) Об определении Порядка, видов, сроков обучения лиц в области ПБ (изм. на 16.12.2024).pdf","Приказ МЧС России от 18 ноября 2021 года N 806 Об определении Порядка, видов, сроков обучения лиц, осуществляющих трудовую или служебную деятельность в организациях, по программам противопожарного инструктажа, требований к содержанию указанных программ и категорий лиц, проходящих обучение по дополнительным профессиональным программам в области пожарной безопасности","['порядок обучения', 'требования к программам', 'категории обучающихся', 'сроки обучения', 'нормативное регулирование']","['противопожарный инструктаж', 'обучение мерам пожарной безопасности', 'программы обучения', 'дополнительные профессиональные программы', 'категории обучающихся']",Русский,601,806,5,82.9,36.6,Документ отменяется,"Приказ МЧС 806 от 18.11.2021 (действ. до 01.09.2025) Об определении Порядка, видов, сроков обучения лиц в области ПБ (изм. на 16.12.2024).pdf",Действующий,11
"Применение международных, региональных, межгосударственных стандартов и стандартов иностранных государств",Стандартизация,2021-06-21,2025-08-26T03:39:25.462728+00:00,"Документ устанавливает порядок и условия применения международных стандартов, региональных стандартов, межгосударственных стандартов, региональных сводов правил, а также стандартов и сводов правил иностранных государств при выполнении работ, оказании услуг, поставках товаров и других технических документациях, в соответствии с законодательством РФ.",Приказ Росстандарта,Приказ Росстандарта 1061 от 21.06.2021 (действ. с 17.07.2021) Об определении Порядка и условий применения международных стандартов.pdf,"Приказ об определении порядка и условий применения международных стандартов, региональных стандартов, межгосударственных стандартов и региональных сводов правил, а также стандартов иностранных государств и сводов правил иностранных государств","['Порядок применения стандартов', 'Условия применения стандартов', 'Регистрация стандартов']","['стандарты', 'международные стандарты', 'региональные стандарты', 'межгосударственные стандарты', 'своды правил', 'стандарты иностранных государств', 'применение стандартов']",Русский,1304,1061,3,25.0,0.0,Введен впервые,Приказ Росстандарта 1061 от 21.06.2021 (действ. с 17.07.2021) Об определении Порядка и условий применения международных стандартов.pdf,Действующий,3
"Перечень документов в области стандартизации, обеспечивающих соблюдение требований Технического регламента о требованиях пожарной безопасности",Пожарная безопасность,2024-04-04,2025-08-26T03:39:29.444959+00:00,"Приказ утверждает перечень документов в области стандартизации, применение которых на добровольной основе обеспечивает соблюдение требований Федерального закона N 123-ФЗ ""Технический регламент о требованиях пожарной безопасности"". Документ содержит изменения от 17 ноября 2023 года и 4 апреля 2024 года, а также отменяет предыдущий приказ N 1190 от 14 июля 2020 года.",Приказ Росстандарта,Приказ Росстандарта 318 от 13.02.2023 Об утверждении документов на добровольной основе обеспечивается соблюдение требований ФЗ-123.pdf,"Приказ Росстандарта от 13 февраля 2023 года N 318 Об утверждении перечня документов в области стандартизации, в результате применения которых на добровольной основе обеспечивается соблюдение требований Федерального закона от 22 июля 2008 г. N 123-ФЗ ""Технический регламент о требованиях пожарной безопасности"" с изменениями на 4 апреля 2024 года","['утверждение перечня документов', 'обеспечение соблюдения требований', 'изменения и дополнения']","['перечень документов', 'стандартизация', 'технический регламент', 'пожарная безопасность', 'добровольное соблюдение требований']",Русский,1629,318,5,43.5,82.0,с изменениями на 4 апреля 2024 года,Приказ Росстандарта 318 от 13.02.2023 Об утверждении документов на добровольной основе обеспечивается соблюдение требований ФЗ-123.pdf,Действующий,17
Регистрация стандартов организаций и технических условий в Федеральном информационном фонде стандартов,Стандартизация,2021-04-30,2025-08-26T03:39:33.052541+00:00,"Документ описывает порядок регистрации стандартов организаций, включая технические условия, в Федеральном информационном фонде стандартов. Установлены правила подачи заявок, проведения экспертизы, принятия решений о регистрации, а также сроки регистрации стандартов.",Приказ Росстандарта,Приказ Росстандарта 651 от 30.04.2021 (действ. с 13.07.2021) Об определении Порядка регистрации СТО в Фонде стандартов.pdf,"Приказ Росстандарта от 30 апреля 2021 года N 651 Об определении Порядка регистрации стандартов организаций, в том числе технических условий, в Федеральном информационном фонде стандартов","['регистрация стандартов организаций', 'экспертиза проектов стандартов', 'Федеральный информационный фонд стандартов']","['регистрация стандартов организаций', 'технические условия', 'Федеральный информационный фонд стандартов', 'экспертиза стандартов', 'порядок регистрации']",Русский,1343,651,3,40.0,66.7,,Приказ Росстандарта 651 от 30.04.2021 (действ. с 13.07.2021) Об определении Порядка регистрации СТО в Фонде стандартов.pdf,Действующий,3
Реализация объектов капитального строительства государственной системы здравоохранения города Москвы,"Строительство, Здравоохранение",2024-01-16,2025-08-26T03:39:37.462145+00:00,"Документ регулирует порядок взаимодействия между Департаментом здравоохранения города Москвы и Департаментом строительства города Москвы при реализации объектов капитального строительства системы здравоохранения города Москвы. Включает положения по формированию, утверждению и внесению изменений в документацию, приемке-передаче объектов, мониторингу и устранению недостатков.",Свод правил,Регламент взаимодействия Департамента строительства и Департамента здравоохранения от 28.12.2023.pdf,Регламент Общий порядок взаимодействия Департамента здравоохранения города Москвы и Департамента строительства города Москвы при реализации объектов капитального строительства государственной системы здравоохранения города Москвы,"['документация по приемке-передаче', 'мониторинг реализации объектов', 'земельно-правовые отношения', 'приемка объектов', 'устранение недостатков']","['регламент', 'взаимодействие департаментов', 'капитальное строительство', 'объекты здравоохранения', 'приемка-передача', 'мониторинг', 'гарантийные обязательства']",русский,174,ДС-11-1348/24,5,96.1,0.0,,Регламент взаимодействия Департамента строительства и Департамента здравоохранения от 28.12.2023.pdf,Действующий,49
"Противодымная вентиляция зданий различного назначения (жилые, общественные, производственные, складские, многофункциональные здания и комплексы, подземные и надземные автостоянки)",Пожарная безопасность,2013-01-30,2025-08-26T03:39:41.544843+00:00,"Настоящие методические рекомендации регламентируют порядок расчета основных параметров противодымной вентиляции зданий различного назначения. Разработка ориентирована на нормативные документы по пожарной безопасности и предназначена для сотрудников МЧС России, проектных организаций и предприятий, занимающихся противопожарной защитой зданий и сооружений.",Методические рекомендации,Рекомендации к СП.7.13130.2013 Расчетное определение основных параметров противодымной вентиляции зданий.pdf,Расчетное определение основных параметров противодымной вентиляции зданий. Методические рекомендации к СП 7.13130.2013,"['нормативные документы по пожарной безопасности', 'расчет основных параметров вентиляции', 'проектные решения', 'противодымная вентиляция']","['противодымная вентиляция', 'расчетные параметры', 'противопожарная защита', 'здания различного назначения', 'МЧС России']",русский,1048,7.13130.2013,5,79.0,16.7,Введен впервые,Рекомендации к СП.7.13130.2013 Расчетное определение основных параметров противодымной вентиляции зданий.pdf,Действующий,28
"Технический регламент Евразийского экономического союза ""О требованиях к средствам обеспечения пожарной безопасности и пожаротушения"" (ТР ЕАЭС 043/2017)",Пожарная безопасность,2021-11-29,2025-08-26T03:39:45.965304+00:00,"Решение Коллегии Евразийской экономической комиссии от 29 ноября 2021 года вносит изменения в предыдущие нормативные документы, устанавливающие перечень международных, региональных, межгосударственных и национальных стандартов для добровольного соблюдения требований технического регламента по пожарной безопасности и пожаротушению в рамках Евразийского экономического союза.",Решение ЕЭК,Решение ЕЭК 163 от 29.11.2021 О внесение изменений в решение коллегии ЕЭК №200 от 19.11.2019 года.pdf,Решение Коллегии Евразийской экономической комиссии от 29 ноября 2021 года N 163 О внесении изменений в Решение Коллегии Евразийской экономической комиссии от 19 ноября 2019 г. N 200,"['техническое регулирование', 'стандартизация', 'пожарная безопасность']","['Евразийская экономическая комиссия', 'технический регламент', 'пожарная безопасность', 'стандарты', 'ТР ЕАЭС 043/2017']",русский,2245,163,5,6.0,33.3,,Решение ЕЭК 163 от 29.11.2021 О внесение изменений в решение коллегии ЕЭК №200 от 19.11.2019 года.pdf,Действующий,64
"Перечень продукции, подлежащей представлению документа об оценке соответствия требованиям технического регламента ЕАЭС 043/2017 при подаче таможенной декларации",Пожарная безопасность,2021-12-28,2025-08-26T03:39:51.557909+00:00,"Настоящее решение утверждает перечень продукции, в отношении которой при подаче таможенной декларации требуется представление документа об оценке соответствия с требованиями технического регламента Евразийского экономического союза по средствам обеспечения пожарной безопасности и пожаротушения (ТР ЕАЭС 043/2017). Включает изменения, внесённые решением Коллегии ЕЭК от 28 декабря 2021 года.",Решение ЕЭК,Решение ЕЭК 170 от 08.10.2019 О требованиях к средствам обеспечения пожарной безопасности и АУПТ ТР ЕАЭС 043_2017.pdf,"Решение Коллегии Евразийской экономической комиссии от 8 октября 2019 года N 170 Об утверждении перечня продукции, в отношении которой подача таможенной декларации сопровождается представлением документа об оценке соответствия требованиям технического регламента Евразийского экономического союза ""О требованиях к средствам обеспечения пожарной безопасности и пожаротушения"" (ТР ЕАЭС 043/2017) с изменениями на 28 декабря 2021 года","['технические регламенты ЕАЭС', 'товары и продукция', 'оценка соответствия', 'пожарная безопасность', 'таможенное регулирование']","['оценка соответствия', 'таможенная декларация', 'технический регламент', 'пожарная безопасность', 'пожаротушение', 'Евразийский экономический союз', 'ТР ЕАЭС 043/2017']",русский,1995,170,5,0.0,0.0,с изменениями на 28 декабря 2021 года,Решение ЕЭК 170 от 08.10.2019 О требованиях к средствам обеспечения пожарной безопасности и АУПТ ТР ЕАЭС 043_2017.pdf,Действующий,17
Безопасность продукции для гражданской обороны и защиты от чрезвычайных ситуаций природного и техногенного характера в Евразийском экономическом союзе,Безопасность продукции,2022-02,2025-08-26T03:39:56.263522+00:00,"Документ устанавливает переходные положения технического регламента Евразийского экономического союза по безопасности продукции, предназначенной для гражданской обороны и защиты от чрезвычайных ситуаций природного и техногенного характера. В нем изложены правила оценки соответствия продукции, сроки действия документов об оценке, а также особенности производства, выпуска и обращения продукции на таможенной территории Союза.",Решение ЕЭК,Решение ЕЭК 18 от 01.02.2022 Переходные положенеия ТР ЕАЭС 050_2021.pdf,О переходных положениях технического регламента Евразийского экономического союза о безопасности продукции предназначенной для гражданской обороны и защиты от чрезвычайных ситуаций природного и техногенного характера (ТР ЕАЭС 050/2021),"['оценка соответствия продукции', 'переходные положения', 'маркировка продукции', 'производство и обращение продукции', 'сроки действия документов']","['технический регламент', 'безопасность продукции', 'гражданская оборона', 'чрезвычайные ситуации', 'оценка соответствия', 'маркировка', 'Евразийский экономический союз']",русский,1439,ТР ЕАЭС 050/2021,3,33.3,0.0,Введен впервые,Решение ЕЭК 18 от 01.02.2022 Переходные положенеия ТР ЕАЭС 050_2021.pdf,Действующий,3
Средства обеспечения пожарной безопасности и пожаротушения в Евразийском экономическом союзе,Пожарная безопасность,2019-11-19,2025-08-26T03:40:01.957838+00:00,"Документ утверждает перечень международных, региональных и национальных стандартов, которые обеспечивают соблюдение требований технического регламента Евразийского экономического союза по средствам обеспечения пожарной безопасности и пожаротушения. Также включает стандарты с методами испытаний и измерений, необходимыми для применения и оценки соответствия объекта регулирования.",Решение ЕЭК,Решение ЕЭК 200 от 19.11.2019 О требованиях к средствам обеспечения пожарной безопасности и АУПТ ТР ЕАЭС 043_2017.pdf,"Решение Коллегии Евразийской экономической комиссии от 19 ноября 2019 года N 200 О перечне международных и региональных стандартов, а в случае их отсутствия - национальных стандартов, в результате применения которых на добровольной основе обеспечивается соблюдение требований технического регламента Евразийского экономического союза ""О требованиях к средствам обеспечения пожарной безопасности и пожаротушения"" (ТР ЕАЭС 043/2017), и перечне международных и региональных стандартов, а в случае их отсутствия - национальных стандартов, содержащих правила и методы исследований и измерений, необходимые для применения и исполнения требований технического регламента ЕАЭС ТР ЕАЭС 043/2017 и осуществления оценки соответствия объектов технического регулирования","['стандартизация', 'технический регламент', 'пожарная безопасность', 'оценка соответствия']","['технический регламент', 'требования пожарной безопасности', 'средства пожаротушения', 'международные стандарты', 'национальные стандарты', 'оценка соответствия']",русский,2994,200,5,34.7,40.5,,Решение ЕЭК 200 от 19.11.2019 О требованиях к средствам обеспечения пожарной безопасности и АУПТ ТР ЕАЭС 043_2017.pdf,Действующий,58
"проектирование, монтаж и приемка в эксплуатацию охранно-защитных дератизационных систем (ОЗДС) на территории г. Москвы",Пожарная безопасность,2000-05-16,2025-08-26T03:40:06.755743+00:00,"Инструкция регулирует проектирование, монтаж и приемку в эксплуатацию охранно-защитных дератизационных систем (ОЗДС), направленных на защиту от грызунов различных объектов на территории города Москвы. Документ основан на принципе воздействия высоковольтными импульсами электрического тока, обеспечивая экологически безопасное и эффективное снижение численности грызунов без их уничтожения.",Инструкции,"РМ-2776 Инструкция по проектированию, монтажу и приемке в эксплуатацию охранно-защитных дератизационных систем (ОЗДС).pdf","РМ-2776 Инструкция по проектированию, монтажу и приемке в эксплуатацию охранно-защитных дератизационных систем (ОЗДС)","['конструкция и монтаж ОЗДС', 'экологическая безопасность', 'эпидемиологическая защита', 'принцип работы высоковольтных импульсов', 'нормативы Москомархитектуры']","['охранно-защитные дератизационные системы', 'ОЗДС', 'грызуны', 'защита от грызунов', 'проектирование', 'монтаж', 'приемка в эксплуатацию', 'Москва']",русский,392,2776,5,88.9,0.0,Введена впервые,"РМ-2776 Инструкция по проектированию, монтажу и приемке в эксплуатацию охранно-защитных дератизационных систем (ОЗДС).pdf",Действующий,14
"Перечень национальных стандартов, содержащих правила и методы исследований (испытаний) и измерений, необходимые для применения и исполнения Федерального закона Технический регламент о требованиях и пожарной безопасности и осуществления оценки соответствия",Пожарная безопасность,2022-04-26,2025-08-26T03:40:15.031524+00:00,"Данный документ представляет распоряжение Правительства РФ от 10 марта 2009 года N 304-р, утверждающее перечень национальных стандартов, которые содержат правила и методы исследований (испытаний) и измерений, включая правила отбора образцов. Документ обновлён с изменениями по состоянию на 26 апреля 2022 года и направлен на обеспечение исполнения Федерального закона о техническом регулировании и техническом регламенте о требованиях пожарной безопасности.",Распоряжение Правительства РФ,РП РФ 304-р от 10.03.2009 (изм. на 26.04.2022) Об утверждении Перечня национальных стандартов для применения и исполнения ФЗ-123.pdf,"Распоряжение Правительства Российской Федерации от 10 марта 2009 года N 304-р Об утверждении Перечня национальных стандартов, содержащих правила и методы исследований (испытаний) и измерений, в том числе правила отбора образцов, необходимые для применения и исполнения Федерального закона Технический регламент о требованиях и пожарной безопасности и осуществления оценки соответствия, с изменениями на 26 апреля 2022 года","['Регулирование стандартов', 'Испытания и исследования', 'Оценка соответствия']","['Технический регламент', 'Пожарная безопасность', 'Национальные стандарты', 'Методы испытаний', 'Правила отбора образцов']",Русский,3144,304-р,5,7.1,0.0,,РП РФ 304-р от 10.03.2009 (изм. на 26.04.2022) Об утверждении Перечня национальных стандартов для применения и исполнения ФЗ-123.pdf,Действующий,13
"Размещение, строительство и реконструкция кинотеатров и других кинофицированных общественных зданий",Кинотехнология,1994-06-22,2025-08-26T03:40:20.565178+00:00,"Документ определяет основные тенденции развития киносети, параметры кинопроекции и требования к кинотехнологическому оборудованию для обеспечения высокого технического качества демонстрирования кинофильмов. Рекомендует требования к проектированию, оборудованию и эксплуатации кинотеатров различных типов и вместимости.",Руководящий технический материал,РТМ 19-77-94 Развитие и техническое оснащение киносети.pdf,РТМ 19-77-94 Развитие и техническое оснащение киносети,"['Размещение и строительство кинотеатров', 'Требования к кинотехнологическому оборудованию', 'Показ широкоформатных и 16-мм фильмов', 'Техническое оснащение киносети']","['кинотеатры', 'киносеть', 'кинопроекция', 'кинооборудование', 'проектирование', 'реконструкция', 'широкоформатные фильмы', 'двухформатная аппаратура', 'кинозрелища']",Русский,281,19-77-94,5,92.1,12.8,Взамен РТМ 19-77-77,РТМ 19-77-94 Развитие и техническое оснащение киносети.pdf,Действующий,43
